playerName,teamName,mapsPlayed,winrate,hltvImpact,KAST,openingKills,OKratio,rifleKills,sniperKills,smgKills,pistolKills,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating 2.1
chayJESUS,Fluxo Sep 2024 - ,57,0.65,1.06,74.1,438,1.20,2342,43,244,506,3228,53.6,2871,1.12,75.3,5.5,219,4672,0.69,0.18,0.61,0.08,0.10,1.10
chop,Party Astronauts Sep 2024 - Oct 2024,37,0.51,0.98,72.6,229,1.07,1502,3,123,263,1909,55.8,1832,1.04,72.1,5.1,130,2821,0.68,0.17,0.65,0.10,0.10,1.04
chopper,Spirit Jan 2024 - ,142,0.69,0.86,71.4,313,0.78,1329,8,279,302,1941,56.6,2237,0.87,64.1,4.5,160,3402,0.57,0.18,0.66,0.12,0.07,0.93
clax,Aurora Aug 2024 - ,60,0.4,0.98,73.6,468,1.07,2695,19,285,599,3637,57.3,3419,1.06,73.6,4.4,246,5365,0.68,0.16,0.64,0.09,0.11,1.05
cmtry,,132,0.65,0.98,74.8,304,1.48,970,810,41,373,2220,37.5,1932,1.15,70.1,3.7,152,3221,0.69,0.14,0.60,0.10,0.12,1.08
coldzera,Legacy May 2024 - Nov 2024,151,0.65,1.06,73.5,449,1.15,2277,313,110,574,3311,50.8,2958,1.12,76.2,3.0,216,4717,0.70,0.18,0.63,0.09,0.10,1.09
cptkurtka023,B8 Apr 2024 - ,257,0.61,0.98,73.0,701,0.89,3281,13,458,794,4589,57.4,4957,0.93,71.6,3.8,322,7094,0.65,0.19,0.70,0.13,0.11,1.01
cxzi,Party Astronauts Sep 2024 - Oct 2024,37,0.51,1.30,72.4,563,0.95,2083,45,312,461,2934,43.0,2888,1.02,86.7,5.9,181,3933,0.75,0.25,0.73,0.12,0.09,1.15
cynic,Nouns May 2024 - Nov 2024,146,0.62,1.04,76.5,60,1.09,202,88,22,85,412,47.6,418,0.99,73.5,7.1,30,616,0.67,0.23,0.68,0.12,0.11,1.06
d1Ledez,9 Pandas Aug 2024 - ,107,0.63,1.13,74.1,676,0.96,3469,33,213,754,4518,61.9,4180,1.08,77.4,3.6,293,6281,0.72,0.19,0.67,0.12,0.12,1.11
daps,NRG Nov 2024 - ,7,0.71,0.90,73.0,98,0.99,418,9,124,123,684,48.7,738,0.93,69.0,5.0,54,1150,0.59,0.21,0.64,0.13,0.09,0.98
decenty,Imperial Jul 2024 - ,99,0.58,1.05,73.7,516,1.20,3364,82,125,680,4276,52.4,3713,1.15,76.8,3.2,276,5908,0.72,0.17,0.63,0.08,0.11,1.10
degster,HEROIC May 2024 - ,93,0.58,0.96,74.1,195,1.34,475,662,30,246,1424,36.7,1210,1.18,71.8,2.6,93,2024,0.70,0.12,0.60,0.09,0.11,1.08
deko,Aurora Aug 2024 - ,60,0.4,1.10,74.9,556,1.57,1966,1395,130,862,4422,42.8,3541,1.25,78.1,4.2,274,5857,0.75,0.16,0.60,0.08,0.11,1.15
dem0n,,132,0.65,0.93,73.7,249,0.86,2015,10,125,464,2649,68.0,2511,1.05,70.6,4.6,186,3957,0.67,0.18,0.63,0.11,0.14,1.04
donk,Spirit Jan 2024 - ,142,0.69,1.53,75.8,519,1.30,2457,40,27,464,2999,59.9,2224,1.35,96.0,3.5,155,3292,0.91,0.21,0.68,0.11,0.16,1.35
drop,MIBR Sep 2024 - ,41,0.49,1.00,74.3,516,0.98,2478,3,221,547,3303,57.2,3309,1.00,71.1,4.7,246,5174,0.64,0.19,0.64,0.12,0.09,1.03
dumau,Legacy May 2024 - Nov 2024,151,0.65,1.29,74.6,582,1.27,2488,37,153,593,3319,45.3,2794,1.19,84.0,5.2,202,4370,0.76,0.22,0.64,0.09,0.11,1.20
dycha,Monte Aug 2024 - ,90,0.57,1.08,71.5,450,0.90,2123,6,243,534,2950,56.7,2995,0.98,77.0,5.8,205,4386,0.67,0.21,0.68,0.10,0.09,1.05
dziugss,,132,0.65,0.96,75.0,301,1.02,1564,4,139,400,2136,55.8,2168,0.99,73.7,4.9,156,3290,0.65,0.20,0.66,0.12,0.10,1.05
esenthial,B8 Apr 2024 - ,257,0.61,0.89,71.9,583,0.82,3107,12,354,668,4178,64.4,4646,0.90,65.4,3.0,314,6935,0.60,0.17,0.67,0.12,0.11,0.95
exit,MIBR Sep 2024 - ,41,0.49,0.98,76.2,452,1.32,2665,15,166,545,3449,50.4,3068,1.12,73.8,6.2,246,5174,0.67,0.19,0.59,0.10,0.11,1.08
felps,Imperial Jul 2024 - ,99,0.58,1.25,71.3,828,1.05,3403,44,313,570,4358,48.7,4079,1.07,81.6,4.1,276,5908,0.74,0.21,0.69,0.10,0.09,1.12
forsyy,ECLOT Jan 2024 - ,275,0.58,0.98,74.6,668,1.41,1572,2360,143,719,4837,31.4,4031,1.20,70.0,2.9,326,7075,0.68,0.14,0.57,0.09,0.10,1.06
glowiing,9 Pandas Aug 2024 - ,107,0.63,1.05,73.2,615,1.04,3077,37,348,713,4226,56.5,4179,1.01,77.7,6.5,293,6281,0.67,0.22,0.67,0.11,0.11,1.06
hAdji,Monte Aug 2024 - ,90,0.57,1.05,74.4,329,1.12,1765,7,87,345,2239,53.2,2178,1.03,75.0,4.0,149,3263,0.69,0.21,0.67,0.12,0.12,1.06
hades,Monte Aug 2024 - ,90,0.57,1.09,72.7,504,1.64,1013,1565,52,523,3175,30.7,2701,1.18,72.4,2.6,203,4387,0.72,0.12,0.62,0.08,0.08,1.09
headtr1ck,B8 Apr 2024 - ,257,0.61,1.08,75.8,544,1.50,2003,1544,111,870,4612,34.3,3759,1.23,77.0,5.9,284,6272,0.74,0.18,0.60,0.10,0.13,1.14
huNter-,G2 Jul 2024 - ,77,0.66,0.93,72.5,332,1.01,1929,13,255,458,2691,48.6,2688,1.00,71.3,5.6,192,4150,0.65,0.18,0.65,0.11,0.11,1.01
iDISBALANCE,9 Pandas Aug 2024 - ,107,0.63,0.94,73.0,654,1.40,1183,2077,142,660,4094,28.1,3787,1.08,66.8,2.5,293,6281,0.65,0.12,0.60,0.10,0.09,1.02
iM,Natus Vincere Dec 2023 - ,172,0.63,1.14,70.6,454,1.07,2065,14,68,427,2592,44.6,2469,1.05,79.1,3.7,172,3705,0.70,0.20,0.67,0.10,0.09,1.09
insani,MIBR Sep 2024 - ,41,0.49,1.27,73.9,694,1.08,3069,13,134,659,3921,56.6,3380,1.16,83.5,4.7,246,5174,0.76,0.20,0.65,0.11,0.12,1.18
jL,Natus Vincere Dec 2023 - ,172,0.63,1.17,73.7,412,1.17,2031,23,139,444,2667,54.4,2389,1.12,78.8,4.8,172,3705,0.72,0.21,0.64,0.10,0.11,1.13
jks,Liquid Jul 2024 - ,68,0.59,0.90,73.1,100,0.88,686,2,87,163,947,57.8,925,1.02,71.9,6.3,68,1445,0.66,0.17,0.64,0.10,0.11,1.01
junior,Nouns May 2024 - Nov 2024,146,0.62,1.13,74.9,533,1.72,1139,1674,123,642,3639,33.2,2802,1.30,75.9,3.6,230,4849,0.75,0.14,0.58,0.08,0.10,1.17
k1to,OG Oct 2024 - Nov 2024,38,0.45,0.87,67.6,158,0.71,647,8,110,159,933,60.8,1238,0.75,66.1,6.5,78,1662,0.56,0.20,0.74,0.12,0.08,0.87
kRaSnaL,Monte Aug 2024 - ,90,0.57,0.95,73.5,497,0.91,2625,40,323,600,3609,52.4,3721,0.97,72.9,4.1,254,5570,0.65,0.20,0.67,0.11,0.10,1.02
kauez,paiN May 2024 - ,209,0.69,1.01,72.0,709,1.11,3347,48,316,684,4435,62.5,4308,1.03,71.9,3.2,311,6622,0.67,0.16,0.65,0.09,0.09,1.03
khaN,Nemiga Jun 2024 - ,157,0.59,1.00,72.4,550,1.33,1291,1880,105,677,4007,34.6,3504,1.14,68.6,3.4,261,5781,0.69,0.11,0.61,0.10,0.12,1.06
kreaz,ECLOT Jan 2024 - ,275,0.58,0.96,72.7,642,0.85,2917,80,429,653,4125,47.8,4424,0.93,72.8,5.7,310,6708,0.61,0.23,0.66,0.11,0.09,0.99
kye,Fluxo Sep 2024 - ,57,0.65,0.99,70.9,283,0.87,1628,22,85,300,2060,57.4,2053,1.00,73.9,4.9,145,3106,0.66,0.19,0.66,0.08,0.09,1.01
kyxsan,HEROIC May 2024 - ,93,0.58,0.89,71.8,403,0.84,2053,21,373,405,2900,51.6,3165,0.92,68.3,5.8,220,4820,0.60,0.20,0.66,0.11,0.09,0.97
latto,Legacy May 2024 - Nov 2024,151,0.65,1.09,76.8,420,1.27,2471,16,102,570,3190,51.8,2704,1.18,80.9,5.2,202,4370,0.73,0.20,0.62,0.10,0.12,1.16
lux,paiN May 2024 - ,209,0.69,1.15,74.9,769,1.15,3486,92,246,765,4657,52.3,4309,1.08,79.9,6.6,311,6622,0.70,0.23,0.65,0.12,0.10,1.13
m0NESY,G2 Jul 2024 - ,77,0.66,1.28,76.1,552,1.80,1191,1535,43,506,3305,40.7,2424,1.36,81.9,3.0,189,4092,0.81,0.14,0.59,0.09,0.12,1.26
maNkz,M80 Jul 2024 - ,78,0.62,0.98,73.3,77,0.87,377,9,21,83,496,58.7,529,0.94,68.2,4.7,38,801,0.62,0.21,0.66,0.12,0.10,1.00
magixx,Spirit Jan 2024 - ,142,0.69,0.84,76.0,252,1.02,1301,68,229,267,1917,51.7,1933,0.99,66.5,6.0,155,3292,0.58,0.20,0.59,0.11,0.08,1.00
makazze,,132,0.65,1.32,75.2,561,1.01,2143,24,194,423,2814,55.3,2661,1.06,85.5,5.1,174,3733,0.75,0.26,0.71,0.14,0.12,1.18
malbsMd,M80 Jul 2024 - ,78,0.62,1.39,74.4,723,1.26,2582,7,187,670,3476,64.8,2997,1.16,85.3,5.2,212,4414,0.79,0.21,0.68,0.12,0.11,1.23
mzinho,The MongolZ Dec 2023 - ,204,0.65,0.99,71.8,380,0.95,2202,24,140,535,2933,66.0,2929,1.00,72.1,4.2,204,4472,0.66,0.18,0.65,0.10,0.09,1.04
n1ssim,paiN May 2024 - ,209,0.69,0.93,70.4,91,0.88,515,4,53,120,699,46.4,717,0.97,70.6,3.3,51,1097,0.64,0.17,0.65,0.08,0.09,0.98
nbqq,ECLOT Jan 2024 - ,275,0.58,1.10,72.8,783,0.98,3651,46,279,750,4765,49.6,4521,1.05,76.8,3.4,316,6835,0.70,0.19,0.66,0.10,0.09,1.07
nexa,G2 Jul 2024 - ,77,0.66,0.83,72.1,240,0.84,1941,3,230,414,2625,52.9,2730,0.96,67.5,4.5,190,4232,0.62,0.17,0.65,0.10,0.10,0.95
nicks,Fluxo Sep 2024 - ,57,0.65,0.96,73.8,354,1.21,2154,6,199,423,2814,54.5,2659,1.06,70.7,4.2,207,4362,0.65,0.18,0.61,0.09,0.10,1.04
nicoodoz,HEROIC May 2024 - ,93,0.58,1.19,72.9,738,1.37,2367,1098,48,686,4246,49.3,3758,1.13,78.3,4.8,254,5647,0.75,0.16,0.67,0.09,0.10,1.11
nitr0,NRG Nov 2024 - ,7,0.71,1.04,75.3,190,0.96,1090,4,106,237,1463,53.3,1334,1.10,76.3,6.2,104,2112,0.69,0.21,0.63,0.13,0.12,1.11
nosraC,Nouns May 2024 - Nov 2024,146,0.62,1.10,72.4,589,0.94,2472,31,286,507,3367,49.1,3518,0.96,76.5,6.7,241,5081,0.66,0.25,0.69,0.12,0.10,1.05
noway,Imperial Jul 2024 - ,99,0.58,1.05,73.9,623,0.96,3018,41,216,666,3992,54.3,3866,1.03,74.5,4.7,276,5908,0.68,0.19,0.65,0.11,0.10,1.06
npl,B8 Apr 2024 - ,257,0.61,1.26,74.6,908,1.06,3981,20,383,911,5351,56.1,4772,1.12,83.6,4.5,322,7094,0.75,0.23,0.67,0.12,0.13,1.18
nqz,paiN May 2024 - ,209,0.69,1.01,75.6,643,1.57,1436,2318,172,738,4720,31.7,3648,1.29,71.9,3.4,311,6622,0.71,0.12,0.55,0.09,0.11,1.12
nyezin,paiN May 2024 - ,209,0.69,1.01,71.7,477,0.96,2693,56,242,643,3674,51.0,3534,1.04,75.0,5.1,251,5422,0.68,0.18,0.65,0.09,0.10,1.04
oSee,NRG Nov 2024 - ,7,0.71,1.07,75.1,549,1.72,1347,1435,28,541,3381,35.7,2794,1.21,74.3,2.6,228,4699,0.72,0.14,0.59,0.11,0.11,1.14
ogwizard,Party Astronauts Sep 2024 - Oct 2024,37,0.51,1.13,72.3,402,1.47,999,1057,67,436,2601,35.1,2299,1.13,76.0,3.5,166,3542,0.73,0.16,0.65,0.12,0.13,1.11
phzy,Wildcard Jul 2024 - ,80,0.7,1.27,74.3,349,1.54,729,924,71,358,2113,32.3,1645,1.28,79.8,4.0,126,2722,0.78,0.16,0.60,0.09,0.11,1.21
piriajr,Fluxo Sep 2024 - ,57,0.65,1.21,73.4,601,1.19,3029,110,61,583,3832,55.4,3274,1.17,81.6,3.6,233,5088,0.75,0.19,0.64,0.08,0.09,1.16
r1nkle,B8 Apr 2024 - ,257,0.61,1.11,71.5,473,1.29,750,1377,53,469,2677,33.8,2348,1.14,72.6,3.2,171,3764,0.71,0.12,0.62,0.09,0.11,1.07
r3salt,Aurora Aug 2024 - ,60,0.4,1.21,72.9,846,1.04,3925,49,239,875,5184,60.6,4593,1.13,81.8,5.2,326,6956,0.75,0.19,0.66,0.10,0.10,1.15
reck,M80 Jul 2024 - ,78,0.62,1.01,73.4,362,0.97,2354,11,96,513,2999,53.9,2853,1.05,73.2,4.6,213,4490,0.67,0.20,0.64,0.11,0.11,1.07
regali,OG Oct 2024 - Nov 2024,38,0.45,1.05,75.4,119,2.25,312,385,16,134,852,34.9,666,1.28,73.7,3.1,53,1148,0.74,0.13,0.58,0.09,0.14,1.13
riskyb0b,Nemiga Jun 2024 - ,157,0.59,1.04,73.9,583,1.07,2795,115,196,614,3775,57.0,3901,0.97,74.9,6.4,261,5781,0.65,0.24,0.67,0.13,0.12,1.05
ryu,Monte Aug 2024 - ,90,0.57,1.06,73.4,253,0.92,1769,11,88,360,2244,57.2,2061,1.09,75.7,3.5,138,3133,0.72,0.18,0.66,0.11,0.13,1.08
s1n,M80 Jul 2024 - ,78,0.62,1.01,75.3,336,1.03,1913,27,231,482,2709,50.6,2514,1.08,74.9,8.0,191,4099,0.66,0.23,0.61,0.11,0.12,1.08
saadzin,Legacy May 2024 - Nov 2024,151,0.65,1.06,74.7,545,1.62,1428,1582,118,731,3899,38.1,3160,1.23,74.1,3.2,248,5367,0.73,0.13,0.59,0.10,0.11,1.12
saffee,MIBR Sep 2024 - ,41,0.49,1.01,73.9,506,1.29,1428,1350,168,567,3550,33.8,3071,1.16,70.8,3.0,246,5174,0.69,0.14,0.59,0.10,0.10,1.07
sdy,Monte Aug 2024 - ,90,0.57,1.11,72.1,213,0.99,1023,27,136,216,1422,53.7,1352,1.05,82.7,4.7,93,1986,0.72,0.21,0.68,0.09,0.10,1.09
