playerName,teamName,mapsPlayed,winrate,hltvImpact,KAST,openingKills,OKratio,rifleKills,sniperKills,smgKills,pistolKills,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating 2.1
seized,9 Pandas Aug 2024 - ,107,0.63,0.85,69.9,264,0.79,1237,43,213,269,1793,52.4,2140,0.84,66.4,4.4,144,3099,0.58,0.18,0.69,0.11,0.08,0.90
sh1ro,Spirit Jan 2024 - ,142,0.69,1.11,76.4,309,1.99,804,1013,78,453,2383,36.7,1713,1.39,76.9,3.8,147,3115,0.77,0.14,0.55,0.08,0.13,1.19
shalfey,9 Pandas Aug 2024 - ,107,0.63,1.09,72.7,652,1.06,3049,167,245,548,4051,48.9,3721,1.09,77.2,4.5,268,5784,0.70,0.19,0.64,0.10,0.09,1.09
siuhy,MOUZ Dec 2023 - ,150,0.61,0.89,70.0,268,0.75,1603,6,143,310,2072,52.8,2347,0.88,68.3,4.0,156,3412,0.61,0.20,0.69,0.12,0.09,0.94
sjuush,HEROIC May 2024 - ,93,0.58,0.98,72.2,393,0.92,2167,30,143,440,2824,51.4,2901,0.97,73.9,4.1,199,4350,0.65,0.19,0.67,0.10,0.09,1.02
skullz,Liquid Jul 2024 - ,68,0.59,0.91,72.7,326,1.07,1799,8,174,443,2449,56.0,2418,1.01,68.3,3.9,181,3839,0.64,0.17,0.63,0.09,0.11,1.00
slaxz-,M80 Jul 2024 - ,78,0.62,1.09,74.6,481,1.82,787,1680,116,501,3111,32.6,2449,1.27,70.1,3.5,207,4379,0.71,0.13,0.56,0.09,0.10,1.13
snow,paiN May 2024 - ,209,0.69,1.03,74.9,713,1.07,3802,33,231,853,4981,47.9,4531,1.10,74.6,3.9,334,7232,0.69,0.18,0.63,0.10,0.12,1.08
stanislaw,Wildcard Jul 2024 - ,80,0.7,0.96,72.5,401,0.85,1814,15,430,473,2784,53.7,2964,0.94,70.3,5.7,208,4422,0.63,0.19,0.67,0.12,0.09,1.00
susp,Wildcard Jul 2024 - ,80,0.7,1.09,73.1,655,0.94,2640,13,257,583,3525,53.9,3578,0.99,74.2,5.4,252,5425,0.65,0.22,0.66,0.11,0.11,1.06
torzsi,MOUZ Dec 2023 - ,150,0.61,1.04,72.7,346,1.67,858,1106,77,389,2445,35.0,2015,1.21,72.3,3.5,156,3412,0.72,0.13,0.59,0.10,0.10,1.09
try,Imperial Jul 2024 - ,99,0.58,1.11,75.0,248,1.42,432,803,61,260,1575,37.3,1290,1.22,73.3,3.4,99,2184,0.72,0.14,0.59,0.09,0.11,1.13
ultimate,Liquid Jul 2024 - ,68,0.59,1.16,71.4,439,1.26,807,1081,145,379,2444,39.3,2101,1.16,75.5,3.0,155,3328,0.73,0.13,0.63,0.09,0.09,1.11
vsm,Fluxo Sep 2024 - ,57,0.65,0.98,73.3,215,0.91,1275,24,90,287,1692,60.9,1622,1.04,73.1,4.4,118,2551,0.66,0.17,0.64,0.11,0.09,1.05
w0nderful,Natus Vincere Dec 2023 - ,172,0.63,1.04,74.8,388,1.67,1056,1093,40,458,2662,37.0,2148,1.24,72.3,2.8,172,3705,0.72,0.13,0.58,0.09,0.12,1.12
xertioN,MOUZ Dec 2023 - ,150,0.61,1.23,72.5,447,0.92,1920,12,139,383,2479,52.0,2352,1.05,81.4,6.2,156,3412,0.73,0.23,0.69,0.11,0.10,1.13
zevy,Fluxo Sep 2024 - ,57,0.65,1.05,73.1,625,1.37,1723,1772,101,633,4265,37.3,3605,1.18,72.3,3.2,279,5959,0.72,0.13,0.60,0.09,0.09,1.09
zont1x,Spirit Jan 2024 - ,142,0.69,1.07,74.8,375,1.14,1685,11,182,348,2271,37.1,2154,1.05,76.5,6.8,160,3402,0.67,0.22,0.63,0.10,0.09,1.09
zweih,Nemiga Jun 2024 - ,157,0.59,1.09,72.5,365,1.04,1985,16,96,409,2535,54.2,2408,1.05,77.2,4.3,163,3556,0.71,0.19,0.68,0.10,0.11,1.08
,Liquid Jul 2024 - ,68,0.59,1.07,76.8,303,1.19,1855,78,340,456,2767,51.8,2295,1.21,81.1,7.0,178,3808,0.73,0.22,0.60,0.10,0.11,1.15
